,zip,income
0,90001,35660
1,90002,34000
2,90003,34397
3,90004,46581
4,90005,32461
5,90006,33790
6,90007,23070
7,90008,36641
8,90010,47115
9,90011,33824
10,90012,38786
11,90013,22808
12,90014,37619
13,90015,32979
14,90016,43443
15,90017,28638
16,90018,37341
17,90019,50671
18,90020,42407
19,90021,12864
20,90022,41276
21,90023,40225
22,90024,59418
23,90025,78713
24,90026,54342
25,90027,58344
26,90028,40068
27,90029,37379
28,90031,0
29,90032,47370
30,90033,31683
31,90034,65572
32,90035,76677
33,90036,74279
34,90037,31045
35,90038,36996
36,90039,81394
37,90040,43585
38,90041,73250
39,90042,55596
40,90043,41812
41,90044,32278
42,90045,90399
43,90046,65990
44,90047,42551
45,90048,85396
46,90056,84438
47,90057,31337
48,90058,16425
49,90059,37653
50,90061,37126
51,90062,40018
52,90063,44121
53,90064,92194
54,90065,58405
55,90066,75209
56,90067,123889
57,90068,82718
58,90069,86403
59,90071,0
60,90077,184722
61,90094,136250
62,90201,39498
63,90210,149732
64,90211,71402
65,90212,103032
66,90220,54014
67,90221,46008
68,90222,40719
69,90230,79242
70,90232,82254
71,90240,81205
72,90241,0
73,90242,62402
74,90245,92942
75,90247,46076
76,90248,58703
77,90249,53964
78,90250,49417
79,90254,124849
80,90255,40325
81,90260,58792
82,90262,45897
83,90265,137672
84,90266,148899
85,90270,37553
86,90272,180962
87,90274,158497
88,90275,124384
89,90277,101532
90,90278,107242
91,90280,47281
92,90290,103553
93,90291,88078
94,90292,103948
95,90293,100042
96,90301,42100
97,90302,43788
98,90303,44470
99,90304,41054
100,90305,68760
101,90401,71154
102,90402,140179
103,90403,92096
104,90404,73601
105,90405,88445
106,90501,64995
107,90502,68676
108,90503,84615
109,90504,79352
110,90505,91569
111,90601,69740
112,90602,48427
113,90603,95354
114,90604,66974
115,90605,66963
116,90606,66566
117,90621,58639
118,90623,91131
119,90630,90165
120,90631,76910
121,90638,86141
122,90640,50326
123,90650,63669
124,90660,61524
125,90670,66509
126,90680,53492
127,90701,62863
128,90703,98175
129,90704,63021
130,90706,52944
131,90710,57968
132,90712,83627
133,90713,94110
134,90715,69905
135,90716,38500
136,90717,61077
137,90720,97598
138,90723,49064
139,90731,49464
140,90732,89440
141,90740,65299
142,90742,77153
143,90743,137361
144,90744,43284
145,90745,73053
146,90746,81988
147,90755,75828
148,90802,51302
149,90803,83861
150,90804,47437
151,90805,47981
152,90806,50615
153,90807,75057
154,90808,102563
155,90810,56061
156,90813,34257
157,90814,64623
158,90815,84714
159,91001,91090
160,91006,99360
161,91007,79964
162,91010,68599
163,91011,160288
164,91016,71341
165,91020,69150
166,91024,98547
167,91030,92847
168,91040,77910
169,91042,53412
170,91101,64223
171,91103,69334
172,91104,72189
173,91105,112765
174,91106,77380
175,91107,92266
176,91108,152553
177,91201,56580
178,91203,51360
179,91204,44304
180,91205,38730
181,91206,57379
182,91207,81110
183,91208,105000
184,91210,155833
185,91214,94322
186,91301,117615
187,91302,122967
188,91303,51486
189,91304,64367
190,91306,64772
191,91307,111043
192,91311,82738
193,91316,68720
194,91320,116208
195,91321,66178
196,91324,68477
197,91325,65129
198,91326,105611
199,91331,57353
200,91335,55580
201,91340,54703
202,91342,68600
203,91343,61692
204,91344,86460
205,91345,74193
206,91350,103837
207,91351,76706
208,91352,52171
209,91354,120560
210,91355,92066
211,91356,71654
212,91360,93476
213,91361,116114
214,91362,108167
215,91364,100323
216,91367,84937
217,91377,129721
218,91381,121719
219,91384,106431
220,91387,87346
221,91390,108836
222,91401,51784
223,91402,41669
224,91403,89552
225,91405,41283
226,91406,51564
227,91411,50332
228,91423,82554
229,91436,159965
230,91501,64006
231,91502,41784
232,91504,73501
233,91505,82630
234,91506,72681
235,91601,50832
236,91602,78526
237,91604,99745
238,91605,43004
239,91606,44773
240,91607,60772
241,91701,89067
242,91702,59104
243,91706,57240
244,91709,102746
245,91710,75408
246,91711,97002
247,91722,70632
248,91723,63270
249,91724,82821
250,91730,68716
251,91731,36344
252,91732,48254
253,91733,42758
254,91737,102610
255,91739,103974
256,91741,99474
257,91744,63318
258,91745,81397
259,91746,64607
260,91748,64983
261,91750,83743
262,91752,70880
263,91754,58056
264,91755,49755
265,91759,51719
266,91761,68021
267,91762,53462
268,91763,54263
269,91764,51961
270,91765,95285
271,91766,54163
272,91767,54157
273,91768,50044
274,91770,51383
275,91773,81020
276,91775,81250
277,91776,52051
278,91780,67910
279,91784,110945
280,91786,54931
281,91789,95081
282,91790,74965
283,91791,80020
284,91792,70932
285,91801,53644
286,91803,61424
287,91901,90397
288,91902,92759
289,91905,32819
290,91906,49919
291,91910,59371
292,91911,52274
293,91913,87440
294,91914,131486
295,91915,106452
296,91916,87344
297,91932,49950
298,91934,25636
299,91935,98668
300,91941,79001
301,91942,56645
302,91945,60739
303,91950,42942
304,91962,104760
305,91963,28508
306,91977,60986
307,91978,68206
308,91980,0
309,92003,70817
310,92004,39514
311,92007,105469
312,92008,81073
313,92009,120090
314,92010,101402
315,92011,110505
316,92014,128679
317,92019,80791
318,92020,52264
319,92021,54154
320,92024,103417
321,92025,55703
322,92026,67122
323,92027,60802
324,92028,64801
325,92029,85363
326,92036,53750
327,92037,107094
328,92040,70513
329,92054,56170
330,92055,0
331,92056,70636
332,92057,66844
333,92058,43992
334,92059,90203
335,92060,0
336,92061,41841
337,92064,102292
338,92065,83382
339,92067,130769
340,92069,65485
341,92070,43333
342,92071,81716
343,92075,103608
344,92078,74094
